text_clean,label,baseline_pred,error_type,dataset_source
pensó: zumo para restar.,1,0,FN,detoxis
como les gusta el afeitado en seco a esta gente.,1,0,FN,detoxis
"asi me gusta, que se maten entre ellos y en alta mar. mas inmigrantes asi porfavor",1,0,FN,detoxis
costumbres...,1,0,FN,detoxis
"los mejores mas preparados para cortar calabacines, este trabaja nada mas tocar tierra.",1,0,FN,detoxis
los más preparados,1,0,FN,detoxis
"hombre preparado viene para currar en un matadero, o dejarle de cocinero jefe en la sede del psoe",1,0,FN,detoxis
"piensan que deben sacrificar un alma a cambio de sobrevivir. el otro día una mujer lanzó al mar a su bebé de pocos meses, como sacrificio",1,0,FN,detoxis
venid ya,1,0,FN,detoxis
vienen a pagarnos las pensiones,1,0,FN,detoxis
los mejores y los más valientes,1,0,FN,detoxis
un fan del afeitado clásico,1,0,FN,detoxis
los mas valientes. haz que pase!,1,0,FN,detoxis
"los mejores, los más preparados.",1,0,FN,detoxis
zumo para cortar seria,1,0,FN,detoxis
"y todos esos, incluido el loco ese, en malaga. ayyy... en qué te has convertido ciudad mía.",0,1,FP,detoxis
super buen chaval. maestro de escuela ya.,1,0,FN,detoxis
"vienen los mejores (sicarios) y los mas valientes (convictos) =- ""pero no todos son iguales"" =- ""hurr durr me he cagado encima hurr""",1,0,FN,detoxis
lo que está claro es que ha llegado un ladrón menos.,1,0,FN,detoxis
mis cosas no las toca nadie tampoco,1,0,FN,detoxis
¿si? de momento de todos los que iban en la patera seguramente es el que mejor cama y comida ha tenido hasta el momento. y tranquilo aunque se maten entre ellos solo sobreviven los que mejor matan.,1,0,FN,detoxis
podemos montar una conjunta forocochera para que esta bella persona tenga su paguita no?,1,0,FN,detoxis
"pobrete, lo que habrá sufrido para llegar a eso, le ofrezco la casa del shur de arriba para que puedo degollar tranquilo",1,0,FN,detoxis
welcome refugees,1,0,FN,detoxis
demuestra iniciativa. que le den dos pagas.,1,0,FN,detoxis
"los mejores, los más sedientos",1,0,FN,detoxis
los mejores. los más valientes,1,0,FN,detoxis
jajaja acojámosles,0,1,FP,detoxis
pura supervivencia. me pones en riesgo? te mato.,1,0,FN,detoxis
hay que darle cariño.,1,0,FN,detoxis
"con lo difícil que es cortar un filete con nervios, no sé como cortan las cabezas tan bien.",1,0,FN,detoxis
"vienen a pagar nuestras pensiones. son ciudadanos 10, tan válidos o más que tú. debemos de darles más paguitas, para que se integren y nos ayuden como personas que somos",1,0,FN,detoxis
"dejad de copiar noticia a periodistas q quieren destruir internet, el q le corto es el mafioso de la patera eso lo dicen al final",0,1,FP,detoxis
en ronda no tenéis nada para él? le queda mas cerca al muchacho,0,1,FP,detoxis
invasión bárbara,1,0,FN,detoxis
"si, seguro que el resto estaba en shock, si...",1,0,FN,detoxis
"vienen los mejores, los más preparados. en este caso tenía un master en decapitación.",1,0,FN,detoxis
"los mejores, los más valientes",1,0,FN,detoxis
"se que estás de coña pero emigrante es el que se va, independientemente de otros factores e inmigrante es el que llega, es decir para nosotros son inmigrantes, de verdad hay peña que dice eso en serio?",0,1,FP,detoxis
"y los mejores, y los más valientes. la vieja dixit",1,0,FN,detoxis
hazquepase,1,0,FN,detoxis
"és lo que tiene la inmigración sin control que te entra gente así, este por qué mira es un caso extremo y ni se espero a desembarcar.",0,1,FP,detoxis
bellisima persona debe ser....,1,0,FN,detoxis
inmigrantes de calidad. perdón... migrantes de calidad.,1,0,FN,detoxis
yo creo que fue sin querer. se estaba comiendo una manzana y de repente un golpe de mar agitó la embarcación con tan mala fortuna que el pobre hombre se cayó hacia atrás y cercenó la cabeza del otro pobre migrante. la culpa la tienen el mar y los afiladores de cuchillos. el mar encima es de color azul y se podría insertar dentro de violencia machista.,1,0,FN,detoxis
que el karma te oiga.,0,1,FP,detoxis
¿4 páginas y sin la vieja? [video error - id incorrecto],1,0,FN,detoxis
pues mucho no entiendo pq llamarlo asi cuando la palabra no es ofensiva putos progres,1,0,FN,detoxis
yo lo siento pero es que ellos mismos son los que pagan 2500 euros a esa escoria para meterse en un barcucho dirección europa. que eso es un pastizal allí.. en fin.,0,1,FP,detoxis
estaría bien que se inmolasen en las propias pateras.,1,0,FN,detoxis
