text,dataset_source,use_for,label,text_clean
pues hazme los deberes furcia barata,multilingual_toxicity_explained_es,analysis,,pues hazme los deberes furcia barata
Conclusión: pura mierda de paranormal....,multilingual_toxicity_explained_es,analysis,,conclusión: pura mierda de paranormal....
Algunos pierden la cabeza por llegar a Paguitalandia.,multilingual_toxicity_explained_es,analysis,,algunos pierden la cabeza por llegar a paguitalandia.
"Si los ladrones y golpistas de izquierda no le hubieran hecho tanto daño a Chile, probablemente todo sería mejor.",multilingual_toxicity_explained_es,analysis,,"si los ladrones y golpistas de izquierda no le hubieran hecho tanto daño a chile, probablemente todo sería mejor."
No se puede tener peor gusto diseñando camisetas pa una peña  Que verguenza maricon,multilingual_toxicity_explained_es,analysis,,no se puede tener peor gusto diseñando camisetas pa una peña que verguenza maricon
Que analogía rebuscada y de mierda,multilingual_toxicity_explained_es,analysis,,que analogía rebuscada y de mierda
Periodismo de mierda justificando esto !,multilingual_toxicity_explained_es,analysis,,periodismo de mierda justificando esto !
JAJAJAJAJJAJA que vas a eclipsar tú y el otro subnormal xd,multilingual_toxicity_explained_es,analysis,,jajajajajjaja que vas a eclipsar tú y el otro subnormal xd
"Pero que lo haga el gobierno y saqué pasta, vamos gilipollas, que os podéis forrar",multilingual_toxicity_explained_es,analysis,,"pero que lo haga el gobierno y saqué pasta, vamos gilipollas, que os podéis forrar"
"Buah yo no me haría nunca un twitter, eso está lleno de rojos de mierda.",multilingual_toxicity_explained_es,analysis,,"buah yo no me haría nunca un twitter, eso está lleno de rojos de mierda."
Esperando reacciones de los perroflautas de #podemos,multilingual_toxicity_explained_es,analysis,,esperando reacciones de los perroflautas de #podemos
Paco llegado este punto nos da igual con tal de olvidarnos del PP y su estado fascista,multilingual_toxicity_explained_es,analysis,,paco llegado este punto nos da igual con tal de olvidarnos del pp y su estado fascista
"Marhuenda, ese gilipollas que dice que es catalán solo cuando pretende dañar a todos los catalanes, llama...",multilingual_toxicity_explained_es,analysis,,"marhuenda, ese gilipollas que dice que es catalán solo cuando pretende dañar a todos los catalanes, llama..."
"ESTA NOCHE, MANDA MI POLLA (un primo suyo)",multilingual_toxicity_explained_es,analysis,,"esta noche, manda mi polla (un primo suyo)"
"Lo veo bien, deja cada uno varias pensiones pagadas y se va a su pais.",multilingual_toxicity_explained_es,analysis,,"lo veo bien, deja cada uno varias pensiones pagadas y se va a su pais."
"E si non eres un periodista decente deberías cambiar de profesión, subnormal.",multilingual_toxicity_explained_es,analysis,,"e si non eres un periodista decente deberías cambiar de profesión, subnormal."
"Estás enfermo y no quieres ver. Cada uno que arregle los problemas de su casa, aquí ya tenemos bastantes.",multilingual_toxicity_explained_es,analysis,,"estás enfermo y no quieres ver. cada uno que arregle los problemas de su casa, aquí ya tenemos bastantes."
lo personal es político pero no por ello tienes ke ir a una manifa ke convocan sindicatos de mierda,multilingual_toxicity_explained_es,analysis,,lo personal es político pero no por ello tienes ke ir a una manifa ke convocan sindicatos de mierda
"Vaya, nunca pensé oir decir eso a una mujer",multilingual_toxicity_explained_es,analysis,,"vaya, nunca pensé oir decir eso a una mujer"
Excepto si te lo envenenan con mierdas,multilingual_toxicity_explained_es,analysis,,excepto si te lo envenenan con mierdas
Este país se va a la mierda,multilingual_toxicity_explained_es,analysis,,este país se va a la mierda
"Los halagos y buenos modales siempre hacen bien, menos a los izquierdistas de la cultura del odio.",multilingual_toxicity_explained_es,analysis,,"los halagos y buenos modales siempre hacen bien, menos a los izquierdistas de la cultura del odio."
