Sentence,Toxicity Level,Tone,Language,Implied Sentiment,Negative Connotations,__index_level_0__
pues hazme los deberes furcia barata,High,Aggressive,Vulgar and Offensive,Disrespectful,furcia barata,
Conclusión: pura mierda de paranormal....,Medium,Disparaging,Vulgar and Disrespectful,Negative,mierda,
Algunos pierden la cabeza por llegar a Paguitalandia.,Low,Neutral,Neutral,Neutral,pierden la cabeza,
"Si los ladrones y golpistas de izquierda no le hubieran hecho tanto daño a Chile, probablemente todo sería mejor.",Medium,Negative,Accusatory,Critical,"ladrones, golpistas",
No se puede tener peor gusto diseñando camisetas pa una peña  Que verguenza maricon,High,Insulting,Derogatory,Disrespectful,"peor, vergüenza, maricon",
Que analogía rebuscada y de mierda,Medium,Disdainful,Critical and Insulting,Negative,mierda,
Periodismo de mierda justificando esto !,Medium,Aggressive,Vulgar,Negative,mierda,
JAJAJAJAJJAJA que vas a eclipsar tú y el otro subnormal xd,High,Mocking,Insulting and Derogatory,Disrespectful,subnormal,
"Pero que lo haga el gobierno y saqué pasta, vamos gilipollas, que os podéis forrar",High,Aggressive,Confrontational and Offensive,Contemptuous,gilipollas,
"Buah yo no me haría nunca un twitter, eso está lleno de rojos de mierda.",Medium,Dismissive,Casual and Insulting,Negative,mierda,
Esperando reacciones de los perroflautas de #podemos,Medium,Condescending,Sarcastic,Disrespectful,perroflautas,
Paco llegado este punto nos da igual con tal de olvidarnos del PP y su estado fascista,Low,Dismissive,Casual,Dislike towards the PP,fascista,
"Marhuenda, ese gilipollas que dice que es catalán solo cuando pretende dañar a todos los catalanes, llama...",High,Aggressive,Insulting and Confrontational,Hostile,gilipollas,
"ESTA NOCHE, MANDA MI POLLA (un primo suyo)",Medium,Vulgar,Casual,Disrespectful,polla,
"Lo veo bien, deja cada uno varias pensiones pagadas y se va a su pais.",Low,Neutral,Formal,Neutral,ninguna,
"E si non eres un periodista decente deberías cambiar de profesión, subnormal.",High,Insulting,Confrontational,Derogatory,subnormal,
"Estás enfermo y no quieres ver. Cada uno que arregle los problemas de su casa, aquí ya tenemos bastantes.",Low,Dismissive,Neutral,Frustration,"enfermo, problemas",
lo personal es político pero no por ello tienes ke ir a una manifa ke convocan sindicatos de mierda,Medium,Critical,Informal,Disdainful,mierda,
"Vaya, nunca pensé oir decir eso a una mujer",Low,Surprised,Neutral,Neutral,nunca,
Excepto si te lo envenenan con mierdas,Low,Neutral,Informal,Cautious,"envenenan, mierdas",
Este país se va a la mierda,Medium,Negative,Casual,Frustration/Discontent,mierda,
"Los halagos y buenos modales siempre hacen bien, menos a los izquierdistas de la cultura del odio.",Medium,Critical,Assertive,Negative,"izquierdistas, odio",
Te das cuenta la panda de retrasados que se han puesto a soltar espumarajos?,Medium,Condescending,Insulting,Derogatory,"retrasados, soltar espumarajos",
La única solución es irse de este país de mierda.,Medium,Negative,Casual and Offensive,Frustration/Disgust,mierda,
Los centros de menores no tutelados son escuelas de delincuentes.,Medium,Accusatory,Negative generalization,Negative,delincuentes,
Esto para un pedazo de retrasado como tu:,High,Insulting,Derogatory,Contemptuous,pedazo de retrasado,
"fijate, todo tiene su lado bueno, hasta el puto coronabicho",Medium,Casual,Vulgar,Negative,"puto, coronabicho",
el Partido Socialista de Andalucía son una banda de delincuentes y chorizos,High,Accusatory,Negative and Defamatory,Hostile,"delincuentes, chorizos",
Los mejores los más preparados para cortar cabezas,Low,Neutral,Formal,Neutral,cortar cabezas,
Y además te apellidas Castillo. Hay que ser un charnego retrasado encima..,High,Insulting,Condescending and Offensive,Derogatory,"charnego, retrasado",
"Son los mejores. Paguita, alquiler y seguridad social ya. Rasistas",High,Aggressive,Colloquial,Hostile,"Paguita, Rasistas",
La mitad catalana borrega independentista sigue creyéndose sus mentiras.,Medium,Critical,Controversial,Negative,"borrega, mentiras",
Este es el maricón de Aida?,High,Insulting,Derogatory,Offensive,maricón,
gummy cuando te pones subnormal eres un tocacojones,Medium,Insulting,Casual and Informal,Disrespectful,"subnormal, tocacojones",
y snk ultima temp pronto pd rachel puta zorra la traicion no se perdona,High,Aggressive,Vulgar and Offensive,Vengeful,"puta, zorra, traicion",
"Lo que Cuba hace, como siempre, es propaganda mentirosa para que descerebrados como Nuñez repitan como loros.",High,Disparaging,Critical and Insulting,Contemptuous,"propaganda mentirosa, descerebrados",
Este wifi boliguayo de mierda,Medium,Insulting,Vulgar and Disrespectful,Contemptuous,mierda,
"los Salesianos de San Francisco de Sales, Los Marianistas y los fascistas vecinos del San Cirano nos ablandaron en exceso.",Low,Neutral,Formal,Neutral,fascistas,
"Habla español, catalán de mierda 😋",Medium,Sarcastic,Insulting,Contemptuous,mierda,
Por mucho que intentes ser del Madrid nunca dejaras de ser un sudaca xd,High,Dismissive,Insulting and Disrespectful,Derogatory,sudaca,
"Estaba tan bien durmiendo hasta q vino roco a despertarme, enano de mierda😒",High,Insulting,Casual and Informal,Angry,"mierda, enano",
