text_clean,label,baseline_pred,beto_pred,dataset_source
"asi me gusta, que se maten entre ellos y en alta mar. mas inmigrantes asi porfavor",1,0,1,detoxis
"y todos esos, incluido el loco ese, en malaga. ayyy... en qué te has convertido ciudad mía.",0,1,0,detoxis
"vienen los mejores (sicarios) y los mas valientes (convictos) =- ""pero no todos son iguales"" =- ""hurr durr me he cagado encima hurr""",1,0,1,detoxis
jajaja acojámosles,0,1,0,detoxis
en ronda no tenéis nada para él? le queda mas cerca al muchacho,0,1,0,detoxis
"se que estás de coña pero emigrante es el que se va, independientemente de otros factores e inmigrante es el que llega, es decir para nosotros son inmigrantes, de verdad hay peña que dice eso en serio?",0,1,0,detoxis
que el karma te oiga.,0,1,0,detoxis
estaría bien que se inmolasen en las propias pateras.,1,0,1,detoxis
"detenido pero en tierras españolas, que es lo único que le preocupa al tío",0,1,0,detoxis
"los mejores, los mas degolladores",1,0,1,detoxis
¿salir a la calle a qué? si van a seguir viniendo igual igual y como se te ocurra decir algo te tachan de racista... salir a la calle no sirve de nada.,0,1,0,detoxis
"no sé qué puedo decir que no esté dicho en la primera página. honk honk!!! sonrían!! el mundo se va a la mierda, pero no olviden sonreír!",0,1,0,detoxis
van a seguir viendo igual pero se les puede expulsar en vez de darles papeles y una paguita provocando un efecto llamada por el que cada vez van a venir mas. salir a la calle a exigir esto a los políticos es solo un primer aviso. el siguiente si no cambian seria dejar de votarles.,0,1,0,detoxis
"es un tema tabú que nunca dará un paso atrás. en euskadi pnv, bildu, psoe y pp van de la mano.en ese sentido. ahí ves claro que es imposible hacer que pase algo decente.",0,1,0,detoxis
"ojalá más como él puedan llegar a españa, nos pagarán las pensiones y violarán a nuestras hijas.",1,0,1,detoxis
"pero en este caso la culpa es de la propia sociedad. si los políticos no hacen nada es porque la propia sociedad les va a penalizar si hacen algo. ese bienquedismo, esa corriente de lo políticamente correcto que hemos implantado frena cualquier medida.",0,1,0,detoxis
"los mejores, los paga pensiones. pónganle ya una asistenta social así la viola de paso",1,0,1,detoxis
pufff ya te digo,0,1,0,detoxis
"""casi todos se van a francia."" ojalá...",0,1,0,detoxis
"y todo eso por un zumo, imagina que no sera capaz de hacer aquí.",0,1,0,detoxis
"las subnormales estas trabajadoras sociales(la mayoría son tías) no se dan cuenta que lo que llega muchas veces son putos desequilibrados mentales procedentes de una cultura violenta, han visto y hecho cosas que ni los narcos de sinaloa. y pretenden que se integren en una sociedad occidental del siglo xxi...",1,0,1,detoxis
"jajajjajajjaja mira lo que le comentan al tuit del periodista que comparte ""su noticia""",0,1,0,detoxis
visto lo visto no te falta razón,0,1,0,detoxis
"siempre saldrán a ganarse la nómina los del ""seguro que no hacía zig-zag por los disparos?...cuidao!""",0,1,0,detoxis
supongo que perro le dará asilo en la moncloa,1,0,1,detoxis
"pero los malos somos los blanquitos. y por supuesto, este tipo pasará dos añitos en la carcel y luego en nuestras calles, con nacionalidad, paguita y plan de reinserción.",1,0,1,detoxis
sí es morito no hay delito,1,0,1,detoxis
pues puede trabajar de carnicero para pagar pensiones,1,0,1,detoxis
"esta gente tendrian que ser expulsados del pais, y obligados a vivir en el lugar de procedencia de estos, por intentar convertir el pais en eso",0,1,0,detoxis
2500€ cada uno!! con eso no pueden montar un negocio en su pueblo?,0,1,0,detoxis
