video_id,comment_id,text,label,notes
45J0q2xi7Qk,UgyeLvwBh3Ulff7aRmx4AaABAg.AU0Y657LmaGAU0gLv45449,​@Rivan98EEUU financia genocidas como Israhell y negocia con otros dictadores. Les importa el petróleo. No las personas.,,
bHtI3lCm8wU,Ugzm_CoX9-OD_kp-dfJ4AaABAg,Mas bien acabó con toda la nación cubana,,
_he3Z-xUr3g,UgxSZj9FFo5EcbIZmAt4AaABAg,¡RACISTA! 🗣🔥🔥🔥🔥,,
bHtI3lCm8wU,Ugw2MZm6x4ufFiSeUkN4AaABAg,"Fuera como fuere, el mayor desarrollo económico de Cuba, y su modernización, ocurrió antes de 1959, con Batista",,
srH80O3G_uQ,UgzHkhPY55mSty_bByR4AaABAg,Ojalá sea catastrófico .,,
45J0q2xi7Qk,Ugw3FQPimA_Dr4MAOfd4AaABAg.AUOxIldObEnAUSzUJQaPGM,"Claro, es lindo defender a un régimen religioso fuera del país que controla...",,
2I6B6QSY7AA,UgyjNiUc0z1rFnL6cIV4AaABAg.ARho6gQf08xARzN-qZBoVK,En efecto ya no lo es,,
srH80O3G_uQ,UgzsKQWFm6IDuiDpGtZ4AaABAg.AU3VQ7_8wXDAU3Wh_g9Xqo,"Claro que es un hueso difícil de roer, claro que van a seguir contra atacando ambos bandos, esto no se acaba hasta que termine.",,
45J0q2xi7Qk,UgwGjDoBWC2lZB5z7rR4AaABAg,El islam es una secta que todo lo arruina como los peronchos .,,
45J0q2xi7Qk,UgyrbmovgOgs6xkinPh4AaABAg,Nadie es nadie para imponer régimen en un país .viva la democracia,,
_he3Z-xUr3g,UgzKd3zsPwVBY_8Dzw94AaABAg,"Si hay necesidad de explicar esto,estamos jodidos.",,
2I6B6QSY7AA,Ugwt0deo4PNK-yYeVAJ4AaABAg,Y se marchooooooo,,
srH80O3G_uQ,Ugwb6ueLBPQlOAKkhBp4AaABAg,"Ruzzarin, acabas de romper internet con este análisis. Eres una bestia, un titán, el puto rey del pensamiento crítico. Eres el Messi del entendimiento geopolítico, el hijo no abortado de Nietzsche + Marx + un poco de Pablo Escobar por el flow. Por billones de años luz eres el mesías que el mundo necesitaba para explicarnos por qué todo es culpa del imperio desde tu sillón ergonómico en NL. Por favor nunca pares, sin tus lives de 3 horas diciendo obviedades con cara de filósofo griego estaríamos perdidos. Abrazo solidario desde la clase obrera que no entiende ni madres de tus palabras de 5 sílabas.",,
srH80O3G_uQ,UgwJPf_GIVohq_bbLVJ4AaABAg,Ruzzarin dejo la filosofía barata y ahora es un genio militar denle su uniforme y su boina,,
bHtI3lCm8wU,UgyZyMnf3Dp4IuvfTWl4AaABAg,"Che loco,también lo hizo en Haití,el salvador Nicaragua México,etc,etc.?",,
45J0q2xi7Qk,UgzOmLq2wPpUklNg6U94AaABAg,Y COMO ERAN LOS EEUU ANTES DEL TRUMPETAS Y SUS GUERRAS?????????,,
srH80O3G_uQ,Ugx-fq5yGYvCUrMNyyZ4AaABAg,Gracias por esta información saludos,,
srH80O3G_uQ,UgyKijI8Q2dDyTrJcmR4AaABAg,Sus misiles basura ya penetraron el domo de hierro y destruyeron los radares de mil millones de los gringos y sionazis.,,
_he3Z-xUr3g,UgwYJHR3Qyr6aPGO2B14AaABAg.AUtwAUr17ggAUuC9Zu1qQt,También México 🇲🇽,,
_he3Z-xUr3g,UgzRnpGFKlG0f9xAimN4AaABAg.AUu29pU1y-yAUuE_lnMauB,Abrazos para Argentina 🇦🇷,,
45J0q2xi7Qk,UgzRF99hmI-Xs6i9D_R4AaABAg,ASI ACTUAN LOS  COMUNIZTAS  SÓLO  QUE EL TIEMPO  DEMUESTRA TODO LO CONTRARIO  Y FINALMENTE   TARDÉ  O TEMPRANO  SEVERAN LA CONCECESIAS  DE LOS QUE APOLLAN ALOS MALANDROS PERO  ESO LLEVA  SU TIEMPO  Y MEREN BIEN  CÓMO  SE LLEGA UN PAIS   ALA LARGA  ASU PROPIAS REPRESIÓN  POR  CREEN    EN EL GAÑO POR LO BISTO  HESTAVAN MEJOR ANTES CONTODO SUS LIMITASINES PERO  HESTAVAN MEJOR ANTES ESO PASA CUÁNDO  LOS ESTUPIDOS  VIVEN QUEJANDOCEN  Y ALA LARGA SI NO ESTBAN CONTETOS CON UNA TASITA AHORA  SELES  DA EL DOBLÉ  ALGO ASI ESTA  POR  PASAR A QUI EN COLOMBIA  UN POCO DE ESTUPIDOS  CREYENDO    QUE SEPEDA  LOS ALIBRAR    MEREN Y VEAN PARA DÓNDE  ES QUE ESTOS TORSIDOS PUEDEN ALA LARGA  DESTRUIR  A UN PAIS,,
_he3Z-xUr3g,UgxT9xJqQt4gGQbd31F4AaABAg,"A título personal, quemaría su DNI, lo desnudaría, y lo metería de vuelta en otra patera con una botella de agua y una brújula 😂",,
srH80O3G_uQ,UgygNQY64UXXRONzDW14AaABAg,"¿Trump está desmoralizado? Trump a librado dos pueblos de sus dictaduras asesinas, Venezuela e Irán, ¿No vas a decir nada de los 30 mil asesinatos del Ayatola Iraní? .. Trump está a punto de poner fin a otra dictadura, la dictadura Castro-comunista que ha destruido a Cuba. 
¡tú Diego Ruzarin eres un zurdo hipócrita!",,
_he3Z-xUr3g,Ugx74asq1WsPBcc19kZ4AaABAg,"Hola progresemos deberíais hacer un video sobre, musulmán el que no bote, que toda la prensa palanganero de izquierdas y tambien de derechas ha hecho tanto ruido, mientras vemos como nos invaden, insultan constantemente a España, su bandera, su himno y la religión católica y nadie dice nada.",,
45J0q2xi7Qk,UgzJvIhmR-1irS-0PX14AaABAg,Que tiempos cuando el SHA reinaba Que les pasó Eran casi europeos y llegaron los fanáticos iluminados y han destrozado el país y la vida de los iraníes Falta les haría otro Sha,,
2I6B6QSY7AA,UgwsR9r658x7_vNjCAF4AaABAg,Descárguenlo antes de que este payaso lo borre 🤡,,
_he3Z-xUr3g,Ugw-kd5DN2xvAvmkV0l4AaABAg,Me encatais progreñecos ❤❤,,
45J0q2xi7Qk,UgxvFg0xkCTyPMmcCZB4AaABAg.AUOsMW-lVFKAUpW9CfVIpp,"Las dos cosas son iguales, en la teocracia también hay violadores",,
45J0q2xi7Qk,UgyB_Jtl62qi01XACst4AaABAg,"Democracia gringa: gobernantes titeres impuestos a través de procesos electorales fraudulentos, que dejen robar a EEUU el petróleo.  Moral gringa: los archivos de Ekstein.",,
45J0q2xi7Qk,UgygR9iKTypNIT17zPl4AaABAg,El problema del shah fue que no hizo desaparecer a la víbora de Khomeini en vez de mandarlo al exilio. Hoy serian una superpotencia.,,
bHtI3lCm8wU,UgwwLevTip0nA_W44E94AaABAg,"Quiten el bloqueo y verán como surge Cuba, HLVS✌️",,
srH80O3G_uQ,UgwhKGTpE8Gnkac9AcV4AaABAg,El mundo está con Irán 🇮🇷 en contra del cartel pdfilosionista 👊,,
srH80O3G_uQ,Ugz2DfsQphxeVRwKFkR4AaABAg,Verguenza como argentino por tener un inpresentable a cafgo del estado apoyando a este otro demencial presidente ...,,
2I6B6QSY7AA,Ugxc1onblpcOZt5NkBx4AaABAg,JAJAJAJAAJAJ SE LE CAYO,,
bHtI3lCm8wU,UgxiulTFf_dl3tOpnyV4AaABAg,"Ingenuos,cínicos, alineados o simplemente voltean para otro lado. Hoy Trump los desengaña, lucha contra el comunismo al atacar Venezuela, NO. Se los dijo, es el petróleo. Cuba nacionaliza su riqueza y es el imperio que no puede permitir que una nación socialista prospere, ¿por qué? simple, afecta a sus intereses económicos. Eso es lo que se le perdió a EU en Cuba, esa es al razón de su bloqueo más brutal contra alguna nación. Y viene los letrados, los hipócritas, los alineados a vociferar: ¡ aléjense del comunismo, el comunismo mata! Patéticos.",,
_he3Z-xUr3g,Ugzj7c9Gw7fu3P7eXVR4AaABAg,"Q TRISTE 😢 AQUÍ CABE CUALQUIERA 
GRACIAS PROGREÑECOS❤",,
bHtI3lCm8wU,Ugyo792_hQRUKiOgAjV4AaABAg,"Ya el adoctrinamiento castrista con sus mentiras no funciona con los cubanos de hoy, la gente ya no le cree nada a la tiranía castrista, por eso la detesta ahora.",,
_he3Z-xUr3g,UgwV1asXK84Lt__1J2R4AaABAg.AUtxkKo19F4AUuC7A6GVRB,"Cierto👍
Lo descubrí hoy y está muy bien!",,
45J0q2xi7Qk,Ugy1Mj-4ACqk8SVejsN4AaABAg,La palabra revolución es mardita mala,,
srH80O3G_uQ,Ugy9csRlItJqbsjHDh94AaABAg,"Ruzzarin, puedes hablar de los Poemas Islamicos que fueron millones de años antes de Cristo? Y como Muhamed existió miles de años antes de Jesus? Please quiero saber más de eso que hablas con confianza",,
