text,dataset_source,use_for,label,text_clean
pues hazme los deberes furcia barata,multilingual_paradetox_es,analysis,,pues hazme los deberes furcia barata
Conclusión: pura mierda de paranormal....,multilingual_paradetox_es,analysis,,conclusión: pura mierda de paranormal....
Algunos pierden la cabeza por llegar a Paguitalandia.,multilingual_paradetox_es,analysis,,algunos pierden la cabeza por llegar a paguitalandia.
"Si los ladrones y golpistas de izquierda no le hubieran hecho tanto daño a Chile, probablemente todo sería mejor.",multilingual_paradetox_es,analysis,,"si los ladrones y golpistas de izquierda no le hubieran hecho tanto daño a chile, probablemente todo sería mejor."
No se puede tener peor gusto diseñando camisetas pa una peña  Que verguenza maricon,multilingual_paradetox_es,analysis,,no se puede tener peor gusto diseñando camisetas pa una peña que verguenza maricon
Que analogía rebuscada y de mierda,multilingual_paradetox_es,analysis,,que analogía rebuscada y de mierda
"Periodismo de mierda justificando esto !""",multilingual_paradetox_es,analysis,,"periodismo de mierda justificando esto !"""
JAJAJAJAJJAJA que vas a eclipsar tú y el otro subnormal xd,multilingual_paradetox_es,analysis,,jajajajajjaja que vas a eclipsar tú y el otro subnormal xd
"Pero que lo haga el gobierno y saqué pasta, vamos gilipollas, que os podéis forrar",multilingual_paradetox_es,analysis,,"pero que lo haga el gobierno y saqué pasta, vamos gilipollas, que os podéis forrar"
"Buah yo no me haría nunca un twitter, eso está lleno de rojos de mierda.",multilingual_paradetox_es,analysis,,"buah yo no me haría nunca un twitter, eso está lleno de rojos de mierda."
Esperando reacciones de los perroflautas de #podemos,multilingual_paradetox_es,analysis,,esperando reacciones de los perroflautas de #podemos
Paco llegado este punto nos da igual con tal de olvidarnos del PP y su estado fascista,multilingual_paradetox_es,analysis,,paco llegado este punto nos da igual con tal de olvidarnos del pp y su estado fascista
"Marhuenda, ese gilipollas que dice que es catalán solo cuando pretende dañar a todos los catalanes, llama...",multilingual_paradetox_es,analysis,,"marhuenda, ese gilipollas que dice que es catalán solo cuando pretende dañar a todos los catalanes, llama..."
"ESTA NOCHE, MANDA MI POLLA (un primo suyo)",multilingual_paradetox_es,analysis,,"esta noche, manda mi polla (un primo suyo)"
"Lo veo bien, deja cada uno varias pensiones pagadas y se va a su pais.",multilingual_paradetox_es,analysis,,"lo veo bien, deja cada uno varias pensiones pagadas y se va a su pais."
"E si non eres un periodista decente deberías cambiar de profesión, subnormal.",multilingual_paradetox_es,analysis,,"e si non eres un periodista decente deberías cambiar de profesión, subnormal."
"Estás enfermo y no quieres ver.

Cada uno que arregle los problemas de su casa, aquí ya tenemos bastantes.",multilingual_paradetox_es,analysis,,"estás enfermo y no quieres ver. cada uno que arregle los problemas de su casa, aquí ya tenemos bastantes."
lo personal es político pero no por ello tienes ke ir a una manifa ke convocan sindicatos de mierda,multilingual_paradetox_es,analysis,,lo personal es político pero no por ello tienes ke ir a una manifa ke convocan sindicatos de mierda
"Vaya, nunca pensé oir decir eso a una mujer",multilingual_paradetox_es,analysis,,"vaya, nunca pensé oir decir eso a una mujer"
Excepto si te lo envenenan con mierdas,multilingual_paradetox_es,analysis,,excepto si te lo envenenan con mierdas
Este país se va a la mierda,multilingual_paradetox_es,analysis,,este país se va a la mierda
"Los halagos y buenos modales siempre hacen bien, menos a los izquierdistas de la cultura del odio.",multilingual_paradetox_es,analysis,,"los halagos y buenos modales siempre hacen bien, menos a los izquierdistas de la cultura del odio."
Te das cuenta la panda de retrasados que se han puesto a soltar espumarajos?,multilingual_paradetox_es,analysis,,te das cuenta la panda de retrasados que se han puesto a soltar espumarajos?
La única solución es irse de este país de mierda.,multilingual_paradetox_es,analysis,,la única solución es irse de este país de mierda.
Sigue existiendo mucha basura en España que limpiar y no solo en lo politico.,multilingual_paradetox_es,analysis,,sigue existiendo mucha basura en españa que limpiar y no solo en lo politico.
Los centros de menores no tutelados son escuelas de delincuentes. ,multilingual_paradetox_es,analysis,,los centros de menores no tutelados son escuelas de delincuentes.
Esto para un pedazo de retrasado como tu:,multilingual_paradetox_es,analysis,,esto para un pedazo de retrasado como tu:
"fijate, todo tiene su lado bueno, hasta el puto coronabicho",multilingual_paradetox_es,analysis,,"fijate, todo tiene su lado bueno, hasta el puto coronabicho"
: #ModeloPodemos Ser comunistas y joder España  #LaHoraAzulPP278,multilingual_paradetox_es,analysis,,: #modelopodemos ser comunistas y joder españa #lahoraazulpp278
el Partido Socialista de Andalucía son una banda de delincuentes y chorizos,multilingual_paradetox_es,analysis,,el partido socialista de andalucía son una banda de delincuentes y chorizos
Los mejores los más preparados para cortar cabezas,multilingual_paradetox_es,analysis,,los mejores los más preparados para cortar cabezas
Y además te apellidas Castillo. Hay que ser un charnego retrasado encima..,multilingual_paradetox_es,analysis,,y además te apellidas castillo. hay que ser un charnego retrasado encima..
"Son los mejores. Paguita, alquiler y seguridad social ya. Rasistas",multilingual_paradetox_es,analysis,,"son los mejores. paguita, alquiler y seguridad social ya. rasistas"
La mitad catalana borrega independentista sigue creyéndose sus mentiras.,multilingual_paradetox_es,analysis,,la mitad catalana borrega independentista sigue creyéndose sus mentiras.
pues mucho  no entiendo pq llamarlo asi cuando la palabra no es ofensiva  putos progres,multilingual_paradetox_es,analysis,,pues mucho no entiendo pq llamarlo asi cuando la palabra no es ofensiva putos progres
Este es el maricón de Aida?,multilingual_paradetox_es,analysis,,este es el maricón de aida?
gummy cuando te pones subnormal eres un tocacojones,multilingual_paradetox_es,analysis,,gummy cuando te pones subnormal eres un tocacojones
y snk ultima temp pronto   pd rachel puta zorra la traicion no se perdona,multilingual_paradetox_es,analysis,,y snk ultima temp pronto pd rachel puta zorra la traicion no se perdona
"Lo que Cuba hace, como siempre, es propaganda mentirosa para que descerebrados como Nuñez repitan como loros.",multilingual_paradetox_es,analysis,,"lo que cuba hace, como siempre, es propaganda mentirosa para que descerebrados como nuñez repitan como loros."
Este wifi boliguayo de mierda,multilingual_paradetox_es,analysis,,este wifi boliguayo de mierda
"los Salesianos de San Francisco de Sales, Los Marianistas y los fascistas vecinos del San Cirano nos ablandaron en exceso.",multilingual_paradetox_es,analysis,,"los salesianos de san francisco de sales, los marianistas y los fascistas vecinos del san cirano nos ablandaron en exceso."
"Habla español, catalán de mierda 😋",multilingual_paradetox_es,analysis,,"habla español, catalán de mierda 😋"
Por mucho que intentes ser del Madrid nunca dejaras de ser un sudaca xd,multilingual_paradetox_es,analysis,,por mucho que intentes ser del madrid nunca dejaras de ser un sudaca xd
"Estaba tan bien durmiendo hasta q vino roco a despertarme, enano de mierda😒",multilingual_paradetox_es,analysis,,"estaba tan bien durmiendo hasta q vino roco a despertarme, enano de mierda😒"
No creo que haya en el mundo alguien que me dé más asco y sea más subnormal que Dani Rovira.,multilingual_paradetox_es,analysis,,no creo que haya en el mundo alguien que me dé más asco y sea más subnormal que dani rovira.
"Este cabron está peor que los 1,200 que están por llegar",multilingual_paradetox_es,analysis,,"este cabron está peor que los 1,200 que están por llegar"
Esos comunistas nazis judeo musulmanes creyéndose los reyes de la física,multilingual_paradetox_es,analysis,,esos comunistas nazis judeo musulmanes creyéndose los reyes de la física
Tu también Matt Reeves y tus putas ideas pendejas,multilingual_paradetox_es,analysis,,tu también matt reeves y tus putas ideas pendejas
"Que traigan otro cargamento, necesitamos más pagapensiones son una inversión de futuro.",multilingual_paradetox_es,analysis,,"que traigan otro cargamento, necesitamos más pagapensiones son una inversión de futuro."
para vos y todos los trolos panelistas putos de Fox,multilingual_paradetox_es,analysis,,para vos y todos los trolos panelistas putos de fox
Yo soy así puto moro,multilingual_paradetox_es,analysis,,yo soy así puto moro
"Charnego mañana salgo para ir a trabajar,  cosa que tu no sabes lo que es...",multilingual_paradetox_es,analysis,,"charnego mañana salgo para ir a trabajar, cosa que tu no sabes lo que es..."
"Y a mí qué me importa lo que tú ""notes"", facha?",multilingual_paradetox_es,analysis,,"y a mí qué me importa lo que tú ""notes"", facha?"
"unos vecinos del primero son más rojos y perroflautas que la hostia, les he dejado 6 entradas en el buzón",multilingual_paradetox_es,analysis,,"unos vecinos del primero son más rojos y perroflautas que la hostia, les he dejado 6 entradas en el buzón"
Pues puede trabajar de carnicero para pagar pensiones,multilingual_paradetox_es,analysis,,pues puede trabajar de carnicero para pagar pensiones
"Un cargador escaso de argumentario, parece.",multilingual_paradetox_es,analysis,,"un cargador escaso de argumentario, parece."
A Emery se la devuelven por subnormal. PLANTEA A LA PROXIMA UN BUEN PARTIDO,multilingual_paradetox_es,analysis,,a emery se la devuelven por subnormal. plantea a la proxima un buen partido
O sea que ahora la mafia tiene viajes de ida y vuelta,multilingual_paradetox_es,analysis,,o sea que ahora la mafia tiene viajes de ida y vuelta
"A su vez que no es lo mismo ser cristiano que catolico , pero tu eres CATETA.",multilingual_paradetox_es,analysis,,"a su vez que no es lo mismo ser cristiano que catolico , pero tu eres cateta."
"el término correcto es ""seres humanos de color crema""",multilingual_paradetox_es,analysis,,"el término correcto es ""seres humanos de color crema"""
"Olé sus huevos morenos (los del periodista). Si hablas de expulsar del pais a alguien, porque omites la nacionalidad.",multilingual_paradetox_es,analysis,,"olé sus huevos morenos (los del periodista). si hablas de expulsar del pais a alguien, porque omites la nacionalidad."
"#CeseDefinitivoCPCCS estos miserables su salida del CPCCS va hacer mas rápido q su puta nombramiento,",multilingual_paradetox_es,analysis,,"#cesedefinitivocpccs estos miserables su salida del cpccs va hacer mas rápido q su puta nombramiento,"
Ahora un nazi en RTVE #lahoraespinosadelosmonteros,multilingual_paradetox_es,analysis,,ahora un nazi en rtve #lahoraespinosadelosmonteros
"muy ateos que sois pero bien que os gustaría ser dios, eh? malditos hipocritas",multilingual_paradetox_es,analysis,,"muy ateos que sois pero bien que os gustaría ser dios, eh? malditos hipocritas"
"Hostia, como la quimioterapia, nos hace daño, pero si aguantamos lo suficiente, podemos vencer al cáncer.",multilingual_paradetox_es,analysis,,"hostia, como la quimioterapia, nos hace daño, pero si aguantamos lo suficiente, podemos vencer al cáncer."
ESPAÑA CORRUPPCIÓN Derecha PP fascista franquista gobernando con 30% en España no entiende porqué Cataluña quiere Independencia y República.,multilingual_paradetox_es,analysis,,españa corruppción derecha pp fascista franquista gobernando con 30% en españa no entiende porqué cataluña quiere independencia y república.
"Pues a mi me recuerda tus diversas lesiones graves y me descojono, subnormal. Acabado.",multilingual_paradetox_es,analysis,,"pues a mi me recuerda tus diversas lesiones graves y me descojono, subnormal. acabado."
"Mientras tanto, la gente matandose a currar como cabrones para vivir en una puta colmena",multilingual_paradetox_es,analysis,,"mientras tanto, la gente matandose a currar como cabrones para vivir en una puta colmena"
porque no tenéis a un subnormal por entrenador.,multilingual_paradetox_es,analysis,,porque no tenéis a un subnormal por entrenador.
"Quién te querría besar a ti, mongolo.",multilingual_paradetox_es,analysis,,"quién te querría besar a ti, mongolo."
