text,dataset_source,use_for,label,text_clean
"A este tambien lo habia que echar porque era una puta mierda, como Cumic",multilingual_toxicity_dataset_es,train,1,"a este tambien lo habia que echar porque era una puta mierda, como cumic"
"la mañana coincidió que charlando de mis labios, en sus brazos y le metió un dedo en el baño aqui la conti porque estuve un rato hasta que senti espero que les había prometido que viajaría a Veracruz, inmediatamente vino a la vida de El mago de petarda de se lo da, una voyeur se masturba muy placenteramente en casa",multilingual_toxicity_dataset_es,train,1,"la mañana coincidió que charlando de mis labios, en sus brazos y le metió un dedo en el baño aqui la conti porque estuve un rato hasta que senti espero que les había prometido que viajaría a veracruz, inmediatamente vino a la vida de el mago de petarda de se lo da, una voyeur se masturba muy placenteramente en casa"
"El vídeo del que todo el mundo habla XD « Jordi Porn – Todos los videos de Jordi el polla – Web NO OFICIAL de Jordi Porn – Jordi el Polla ¡Hola chavales! si, era a mi al que le estaban haciendo la mamada en el metro del vídeo del que todo el mundo habla",multilingual_toxicity_dataset_es,train,1,"el vídeo del que todo el mundo habla xd « jordi porn – todos los videos de jordi el polla – web no oficial de jordi porn – jordi el polla ¡hola chavales! si, era a mi al que le estaban haciendo la mamada en el metro del vídeo del que todo el mundo habla"
"del peor error de mexico queda claro que fue un fosil de la unam, y el chocoflan va a escuela privada, pendejo no es el cacas y doña zopi",multilingual_toxicity_dataset_es,train,1,"del peor error de mexico queda claro que fue un fosil de la unam, y el chocoflan va a escuela privada, pendejo no es el cacas y doña zopi"
antes de irme a trabajar la abuela me folla,multilingual_toxicity_dataset_es,train,1,antes de irme a trabajar la abuela me folla
"Para mí, la única diferencia que hay entre estas y las que están en la Bolita del Mundo es que las últimas son de piel oscura, sin educación, de clase baja, con los cabellos ""enemiguitos"" y que tienen un chulo sin dientes que la espera en la esquina",multilingual_toxicity_dataset_es,train,1,"para mí, la única diferencia que hay entre estas y las que están en la bolita del mundo es que las últimas son de piel oscura, sin educación, de clase baja, con los cabellos ""enemiguitos"" y que tienen un chulo sin dientes que la espera en la esquina"
Ahora se llena esto de gentuza kasposa catalufa y vascolufa,multilingual_toxicity_dataset_es,train,1,ahora se llena esto de gentuza kasposa catalufa y vascolufa
El libro lo quiero pero a Samantha no la soporto: no se puede ir de pija flocerilla en su programa y de bruja de blancanieves en masterchef,multilingual_toxicity_dataset_es,train,1,el libro lo quiero pero a samantha no la soporto: no se puede ir de pija flocerilla en su programa y de bruja de blancanieves en masterchef
Al Chino le precede ese agrio olor a carne podrida y macerada en salsa de ostras incorruptas,multilingual_toxicity_dataset_es,train,1,al chino le precede ese agrio olor a carne podrida y macerada en salsa de ostras incorruptas
Sexo lésbico es trampa sexual,multilingual_toxicity_dataset_es,train,1,sexo lésbico es trampa sexual
