toxic_sentence,neutral_sentence
pues hazme los deberes furcia barata,"Bueno, haz mi tarea."
Conclusión: pura mierda de paranormal....,Conclusión: pura de paranormal.
Algunos pierden la cabeza por llegar a Paguitalandia.,algunos se desgastan por llegar a Paguitalandia
"Si los ladrones y golpistas de izquierda no le hubieran hecho tanto daño a Chile, probablemente todo sería mejor.","Si la izquierda no hubiera hecho tanto daño a Chile, probablemente las cosas habrían sido mejores."
No se puede tener peor gusto diseñando camisetas pa una peña  Que verguenza maricon,No se puede tener peor gusto diseñando camisetas pa una peña  Que vergüenza.
Que analogía rebuscada y de mierda,Qué analogía confusa
"Periodismo de mierda justificando esto !""","Periodismo justificando esto !"""
JAJAJAJAJJAJA que vas a eclipsar tú y el otro subnormal xd,Jajajajaja qué vas a eclipse tú y el otro xd
"Pero que lo haga el gobierno y saqué pasta, vamos gilipollas, que os podéis forrar","Que el gobierno lo gestione y obtenga beneficios, es decir, que aprovechen la oportunidad."
"Buah yo no me haría nunca un twitter, eso está lleno de rojos de mierda.","Yo no me haría nunca un twitter, eso está lleno de rojos."
Esperando reacciones de los perroflautas de #podemos,Esperando reacciones de que podemos
Paco llegado este punto nos da igual con tal de olvidarnos del PP y su estado fascista,Llegado a este punto es igual con tal de olvidarnos del PP y su estado
"Marhuenda, ese gilipollas que dice que es catalán solo cuando pretende dañar a todos los catalanes, llama...","Maruenda, este que dice ser Catalán solo cuando pretende hacer daño a todos los catalanes, llama..."
"ESTA NOCHE, MANDA MI POLLA (un primo suyo)",Esta noche manda mi primo
"Lo veo bien, deja cada uno varias pensiones pagadas y se va a su pais.","Lo considero aceptable, siempre y cuando cada uno deje varias pensiones pagadas antes de regresar a su país."
"E si non eres un periodista decente deberías cambiar de profesión, subnormal.",E si non eres un periodista decente deberías cambiar de profesión.
"Estás enfermo y no quieres ver.

Cada uno que arregle los problemas de su casa, aquí ya tenemos bastantes.","Tienes un problema y no quieres ver. 
Cada uno que arregle los problemas de su casa, aquí ya tenemos bastantes."
lo personal es político pero no por ello tienes ke ir a una manifa ke convocan sindicatos de mierda,Lo personal es político pero eso no significa que haya que ir a una manifestación que convoque a sindicatos.
"Vaya, nunca pensé oir decir eso a una mujer",Nunca esperé escuchar eso de una mujer.
Excepto si te lo envenenan con mierdas,Excepto si lo envenenan con cosas
Este país se va a la mierda,nada puede salvar a este país
"Los halagos y buenos modales siempre hacen bien, menos a los izquierdistas de la cultura del odio.","Los halagos y buenos modales siempre hacen bien, menos a los izquierdas de la cultura del odio."
Te das cuenta la panda de retrasados que se han puesto a soltar espumarajos?,Te das cuenta qué ridiculous se han puesto a soltar espumajaros.
La única solución es irse de este país de mierda.,La única solución es irse de este país.
Sigue existiendo mucha basura en España que limpiar y no solo en lo politico.,Sigue existiendo mucha cosas en España que limpiar y no solo en lo politico.
Los centros de menores no tutelados son escuelas de delincuentes. ,Los centros de menores no tutelados pueden presentar desafíos en la prevención del comportamiento delictivo.
Esto para un pedazo de retrasado como tu:,Esto para ti:
"fijate, todo tiene su lado bueno, hasta el puto coronabicho","Fíjate, todo tiene su lado bueno."
: #ModeloPodemos Ser comunistas y joder España  #LaHoraAzulPP278,: #Modelpodemos ser comunistas y vencer a España  # LaHoraAzulPP278
el Partido Socialista de Andalucía son una banda de delincuentes y chorizos,el Partido Socialista de Andalucía no son honrados
Los mejores los más preparados para cortar cabezas,Los mejores los más preparados para realizar el trabajo
Y además te apellidas Castillo. Hay que ser un charnego retrasado encima..,Y además te apellidas Castillo.
"Son los mejores. Paguita, alquiler y seguridad social ya. Rasistas","Son los mejores. Paguita, alquiler y seguridad social ya."
La mitad catalana borrega independentista sigue creyéndose sus mentiras.,La mitad catalana independentista sigue creyéndose sus mentiras
pues mucho  no entiendo pq llamarlo asi cuando la palabra no es ofensiva  putos progres,Pues mucho no entiendo pq llamarlo asi cuando la palabra no es ofensiva
Este es el maricón de Aida?,Este es el de Aida?
gummy cuando te pones subnormal eres un tocacojones,"Gummy, cuando te comportas de manera inapropiada, te vuelves una molestia."
y snk ultima temp pronto   pd rachel puta zorra la traicion no se perdona,ps rachel la traición no se perdona
"Lo que Cuba hace, como siempre, es propaganda mentirosa para que descerebrados como Nuñez repitan como loros.","Lo que Cuba está haciendo, como siempre, es propaganda para que gente como Núñez repita."
Este wifi boliguayo de mierda,Este mal wifi boliviano
"los Salesianos de San Francisco de Sales, Los Marianistas y los fascistas vecinos del San Cirano nos ablandaron en exceso.","los Salesianos de San Francisco de Sales, Los Marianistas y los vecinos del San Cirano nos ablandaron en exceso."
"Habla español, catalán de mierda 😋",Habla español
Por mucho que intentes ser del Madrid nunca dejaras de ser un sudaca xd,Por mucho que intentes ser del Madrid nunca dejaras de ser un sudamericano xd
"Estaba tan bien durmiendo hasta q vino roco a despertarme, enano de mierda😒",Estaba tan bien durmiendo hasta q vino roco a despertarme 😒
No creo que haya en el mundo alguien que me dé más asco y sea más subnormal que Dani Rovira.,No soporto a Dani Rovira
"Este cabron está peor que los 1,200 que están por llegar",Es peor que los 1.200 que aún están por venir
Esos comunistas nazis judeo musulmanes creyéndose los reyes de la física,Esa gente creyéndose los reyes de la física.
Tu también Matt Reeves y tus putas ideas pendejas,Tu también Matt Reeves y tus ideas
"Que traigan otro cargamento, necesitamos más pagapensiones son una inversión de futuro.","Que traigan otro cargamento, necesitamos más contribuyentes para asegurar las pensiones; son una inversión de futuro."
para vos y todos los trolos panelistas putos de Fox,Para vos y todos los de Fox
Yo soy así puto moro,Yo soy así
